Mon, 25 Nov 2019 20:13:50 mf_testtools.py[line:71] INFO test pass: link text "����" found
Mon, 25 Nov 2019 20:13:52 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:14:17 mf_testtools.py[line:71] INFO test pass: link text "����" found
Mon, 25 Nov 2019 20:14:18 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:18:47 mf_testtools.py[line:71] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:18:49 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:44:13 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:44:13 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:45:09 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:45:32 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:45:32 mf_testtools.py[line:81] INFO test pass: link text "主页" found
Mon, 25 Nov 2019 20:45:33 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:45:51 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:45:51 mf_testtools.py[line:81] INFO test pass: link text "主页" found
Mon, 25 Nov 2019 20:45:52 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:81] INFO test pass: link text "主页" found
Mon, 25 Nov 2019 20:47:59 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:82] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:93] INFO test pass: element by partial link text "s_ipt" found 
Mon, 25 Nov 2019 20:51:53 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:82] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:104] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 20:55:41 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:82] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:104] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:115] INFO test pass: element by css_selector "#su" found 
Mon, 25 Nov 2019 20:57:41 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:82] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:104] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:115] INFO test pass: element by css_selector "#su" found 
Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:51] ERROR Message: Unable to locate element: [id="1"]

Mon, 25 Nov 2019 21:02:29 mf_testtools.py[line:61] ERROR Message: Given css selector expression "1" is invalid: InvalidSelectorError: '1' is not a valid selector: "1"

Mon, 25 Nov 2019 21:02:30 mf_testtools.py[line:72] ERROR Message: Unable to locate element: 1

Mon, 25 Nov 2019 21:02:30 mf_testtools.py[line:82] INFO test pass: element by partial link text "1" found 
Mon, 25 Nov 2019 21:02:30 mf_testtools.py[line:95] ERROR Message: Given css selector expression ".1" is invalid: InvalidSelectorError: '.1' is not a valid selector: ".1"

Mon, 25 Nov 2019 21:02:30 mf_testtools.py[line:106] ERROR Message: Unable to locate element: [name="1"]

Mon, 25 Nov 2019 21:02:30 mf_testtools.py[line:117] ERROR Message: Given css selector expression "1" is invalid: InvalidSelectorError: '1' is not a valid selector: "1"

Mon, 25 Nov 2019 21:02:30 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:70] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:82] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:104] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:115] INFO test pass: element by css_selector "#su" found 
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:125] INFO test pass: clear successful
Mon, 25 Nov 2019 21:09:11 mf_testtools.py[line:135] ERROR Object of type function is not JSON serializable
Mon, 25 Nov 2019 21:09:12 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:09:51 mf_testtools.py[line:125] INFO test pass: clear successful
Mon, 25 Nov 2019 21:09:52 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:10:36 mf_testtools.py[line:126] INFO test pass: clear successful
Mon, 25 Nov 2019 21:10:39 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:10:56 mf_testtools.py[line:127] INFO test pass: clear successful
Mon, 25 Nov 2019 21:10:59 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:14:08 mf_testtools.py[line:139] INFO test pass: refresh successful
Mon, 25 Nov 2019 21:14:11 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:19:40 mf_testtools.py[line:147] INFO click button
Mon, 25 Nov 2019 21:19:41 mf_testtools.py[line:151] INFO get back
Mon, 25 Nov 2019 21:19:43 mf_testtools.py[line:155] INFO go forward
Mon, 25 Nov 2019 21:19:44 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:36:18 mf_testtools.py[line:161] INFO get current_url:http://news.baidu.com/
Mon, 25 Nov 2019 21:36:20 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:38:22 mf_testtools.py[line:161] INFO get current_url:http://news.baidu.com/
Mon, 25 Nov 2019 21:39:19 mf_testtools.py[line:161] INFO get current_url:http://news.baidu.com/
Mon, 25 Nov 2019 21:39:20 mf_testtools.py[line:168] INFO get title:百度新闻——海量中文资讯平台
Mon, 25 Nov 2019 21:39:22 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:50] INFO test pass: ID "su" found
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:60] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:71] INFO test pass: link text "新闻" found
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:83] INFO test pass: element by partial link text "主页" found 
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:94] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:105] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:116] INFO test pass: element by css_selector "#su" found 
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:52] ERROR Message: Unable to locate element: [id="1"]

Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:62] ERROR Message: Given css selector expression "1" is invalid: InvalidSelectorError: '1' is not a valid selector: "1"

Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:73] ERROR Message: Unable to locate element: 1

Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:83] INFO test pass: element by partial link text "1" found 
Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:96] ERROR Message: Given css selector expression ".1" is invalid: InvalidSelectorError: '.1' is not a valid selector: ".1"

Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:107] ERROR Message: Unable to locate element: [name="1"]

Mon, 25 Nov 2019 21:42:09 mf_testtools.py[line:118] ERROR Message: Given css selector expression "1" is invalid: InvalidSelectorError: '1' is not a valid selector: "1"

Mon, 25 Nov 2019 21:42:11 mf_testtools.py[line:127] INFO test pass: clear successful
Mon, 25 Nov 2019 21:42:16 mf_testtools.py[line:139] INFO test pass: refresh successful
Mon, 25 Nov 2019 21:42:21 mf_testtools.py[line:160] INFO get current_url:http://news.baidu.com/
Mon, 25 Nov 2019 21:42:22 mf_testtools.py[line:167] INFO get title:百度新闻——海量中文资讯平台
Mon, 25 Nov 2019 21:42:23 mf_testtools.py[line:150] INFO get back
Mon, 25 Nov 2019 21:42:24 mf_testtools.py[line:154] INFO go forward
Mon, 25 Nov 2019 21:42:26 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:47:00 mf_testtools.py[line:175] ERROR name 'Keys' is not defined
Mon, 25 Nov 2019 21:47:01 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:50:59 mf_testtools.py[line:174] INFO create new tab
Mon, 25 Nov 2019 21:51:00 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:51:30 mf_testtools.py[line:174] INFO create new tab
Mon, 25 Nov 2019 21:51:35 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 21:52:10 mf_testtools.py[line:174] INFO create new tab
Mon, 25 Nov 2019 21:52:12 mf_testtools.py[line:174] INFO create new tab
Mon, 25 Nov 2019 21:52:15 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 08:49:16 mf_testtools.py[line:174] INFO create a new tab
Tue, 26 Nov 2019 08:49:18 mf_testtools.py[line:174] INFO create a new tab
Tue, 26 Nov 2019 08:49:21 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 08:49:32 mf_testtools.py[line:174] INFO create a new tab
Tue, 26 Nov 2019 08:49:34 mf_testtools.py[line:174] INFO create a new tab
Tue, 26 Nov 2019 08:49:37 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 08:50:52 mf_testtools.py[line:175] INFO create a new tab
Tue, 26 Nov 2019 08:50:57 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 08:51:37 mf_testtools.py[line:175] INFO create a new tab
Tue, 26 Nov 2019 08:51:40 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:24:04 mf_testtools.py[line:176] INFO create a new tab
Tue, 26 Nov 2019 09:24:07 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:26:19 mf_testtools.py[line:176] INFO create a new tab
Tue, 26 Nov 2019 09:26:21 mf_testtools.py[line:61] INFO test pass: tag name "body" found
Tue, 26 Nov 2019 09:26:36 mf_testtools.py[line:61] INFO test pass: tag name "body" found
Tue, 26 Nov 2019 09:26:37 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:37:07 mf_testtools.py[line:128] INFO test pass: clear successful
Tue, 26 Nov 2019 09:37:10 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:37:25 mf_testtools.py[line:128] INFO test pass: clear successful
Tue, 26 Nov 2019 09:37:28 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:38:08 mf_testtools.py[line:128] INFO test pass: clear successful
Tue, 26 Nov 2019 09:38:10 mf_testtools.py[line:175] INFO create a new tab
Tue, 26 Nov 2019 09:38:14 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 09:38:27 mf_testtools.py[line:128] INFO test pass: clear successful
Tue, 26 Nov 2019 09:38:30 mf_testtools.py[line:175] INFO create a new tab
Tue, 26 Nov 2019 09:38:35 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 13:50:29 mf_testtools.py[line:128] INFO test pass: clear successful
Tue, 26 Nov 2019 13:50:32 mf_testtools.py[line:175] INFO create a new tab
Tue, 26 Nov 2019 13:50:35 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 14:38:46 mf_testtools.py[line:161] INFO get current_url:http://news.baidu.com/
Tue, 26 Nov 2019 14:38:48 mf_testtools.py[line:168] INFO get title:百度新闻——海量中文资讯平台
Tue, 26 Nov 2019 14:38:49 mf_testtools.py[line:151] INFO get back
Tue, 26 Nov 2019 14:38:50 mf_testtools.py[line:155] INFO go forward
Tue, 26 Nov 2019 14:38:51 mf_testtools.py[line:188] ERROR Message: Element <input id="news" name="tn" type="radio"> could not be scrolled into view

Tue, 26 Nov 2019 14:38:54 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 14:49:46 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 14:50:02 mf_testtools.py[line:189] ERROR Message: Element <input id="TANGRAM__PSP_10__memberPass" class="pass-checkbox-input pass-checkbox-memberPass" name="memberPass" type="checkbox"> could not be scrolled into view

Tue, 26 Nov 2019 14:50:03 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 14:50:52 mf_testtools.py[line:189] ERROR Message: Unable to locate element: //*[@id='u1']/a[7]

Tue, 26 Nov 2019 14:50:55 mf_log.py[line:23] INFO ================================================
Tue, 26 Nov 2019 16:17:06 main.py[line:47] INFO Assertion test pass.
Tue, 26 Nov 2019 16:17:06 mf_testtools.py[line:189] ERROR Message: Unable to locate element: //*[@id='u1']/a[7]

Tue, 26 Nov 2019 16:17:09 mf_log.py[line:23] INFO ================================================
